Symbol,Name,Profile,Website,Fund Type,Inception Date,Currency
ATRGLDV:PM,ATRAM Global Dividend Feeder Fund,"ATRAM Global Dividend Feeder Fund is an open-end unit trust incorporated in Philippines. The Fund's objective is to achieve income and long term capital appreciation through investment in a collective investment scheme principally focused on equity securities worldwide. The Fund invests at least 90% of its assets in the Target Fund,Fidelity Funds - Global Dividend Fund.",http://www.atram.com.ph,Unit Trust,2016-05-10,PHP
ATRTRBF:PM,ATRAM Total Return Dollar Bond Fund,"ATRAM Total Return Dollar Bond Fund is an open-end mutual fund incorporated in the Philippines.The Fund's objective is to invest and reinvest mainly in a diversified portfolio of high-quality long-term and short-term debt instruments and securities available in the Philippines, other countries and in high-quality offshore-domiciled funds invested in other countries.",http://www.atram.com.ph,Open-End Fund,2010-03-08,USD
ATRASEQ:PM,ATRAM Asia Equity Opportunity Feeder Fund,"ATRAM Asia Equity Opportunity Feeder Fund is an open-end fund incorporated in the Philippines. The Fund's objective is to achieve long-term capital growth. The Fund invests at least 90% of its assets in the Target Fund and may also invest in deposit products, securities issued or guaranteed by the Philippine government or the BSP and other tradable investment outlets allowed by the BSP.",http://www.atram.com.ph,Unit Trust,2016-12-16,PHP
ATREMFI:PM,ATRAM Emerging Markets Bond Feeder Fund,ATRAM Emerging Markets Bond Feeder Fund is an open-end unit trust feeder fund incorporated in the Philippines. The Fund aims to achieve long-term capital appreciation. The Fund  invests in fixed income collective investment schemes that invest primarily in  fixed or floating rate debt-securities in emerging markets.,http://www.atram.com.ph,Unit Trust,2013-11-13,USD
ATREUEQ:PM,ATRAM European Equity Opportunity Feeder Fund,ATRAM European Equity Opportunity Feeder Fund is an open-end unit trust feeder fund incorporated in Philippines. The Fund's objective is to seek long-term capital growth. The Fund invests in collective investment fund that invests primarily in equity securities of companies domiciled in Europe.,http://www.atram.com.ph,Unit Trust,2015-02-24,USD
ATRGLEQ:PM,ATRAM Global Equity Opportunity Feeder Fund,ATRAM Global Equity Opportunity Feeder Fund is an open-end unit trust incorporated in Philippines. The Fund's objective is to achieve long-term capital appreciation. The Fund invests in an equity collective investment fund that invests principally in equity securities in markets throughout the world including major markets and small emerging-markets.,http://www.atram.com.ph,Unit Trust,2014-07-28,USD
ATRPHMM:PM,ATRAM Peso Money Market Fund,"ATRAM Peso Money Market Fund is an open-end unit trust incorporated in the Philippines. The Fund aims to maximize income and preserve capital. The Fund invests in deposit products of banks, debt obligations and domestic fixed income instruments.",http://www.atram.com.ph,NA,2013-12-16,PHP
ATRPHSE:PM,ATRAM Philippine Equity Smart Index Fund,ATRAM Philippine Equity Smart Index Fund is an open-end unit trust established in the Philippines. The Fund aims to provide returns. The Fund shall invest primarily in equity securities included in the Philippine Stock Exchange Index.,http://www.atram.com.ph,Open-End Fund,2016-03-01,PHP
ATRGLAA:PM,ATRAM Global Allocation Feeder Fund,"ATRAM Global Allocation Feeder Fund is an open-end unit trust feeder fund incorporated in the Philippines. The Fund's objective is to maximize total return. The Fund invests in a balanced collective investment fund that invests globally in equity, debt  and short-term securities, of both corporate and government issuers.",http://www.atram.com.ph,Unit Trust,2014-07-28,USD
ATRUSEQ:PM,ATRAM US Equity Opportunity Feeder Fund,"ATRAM US Equity Opportunity Feeder Fund is a unit trust feeder fund incorporated in the Philippines. The Fund's objective is to achieve capital appreciation. The Fund invests at least 90% of its net asset value in Franklin US Opportunities Fund (Master Fund), which is Fund of Funds incoporated in Mexico.",http://www.atram.com.ph,Unit Trust,2015-10-23,USD
PRULFIX:PM,ATRAM Corporate Bond Fund Inc,ATRAM Corporate Bond Fund is an open-end mutual fund incorporated in the Philippines. The Fund invests in a diversified portfolio of high quality debt instruments issued by the Philippine government and prime Philippine companies designed to provide regular interest income and principal preservation.,http://www.atram.com.ph,Open-End Fund,2005-01-03,PHP
ATRPHFI:PM,ATRAM Total Return Peso Bond Fund,"ATRAM Total Return Peso Bond Fund is an open-end unit trust incorporated in the Philippines. The Fund's objective is to maximize total return. The Fund invests in deposit products of banks, debt obligations of the Government of the Republic of the Philippines and its instrumentalities, and investment-grade fixed-income securities issued by Philippine corporations.",http://www.atram.com.ph,Unit Trust,2014-10-28,PHP
ATRGLFI:PM,ATRAM Global Total Return Bond Feeder Fund,ATRAM Global Total Return Bond Feeder Fund is an open-end unit trust incorporated in the Philippines. The Fund's objective is to maximize total return. The Fund invests in a fixed-income collective investment fund that invests principally in a portfolio of fixed and/or floating rate securities and debt obligations issued by government and corporate entities worldwide.,http://www.atram.com.ph,Unit Trust,2014-07-28,USD
ATREMEQ:PM,ATRAM Emerging Markets Equity Opportunity Feeder Fund,ATRAM Emerging Markets Equity Opportunity Feeder Fund is an open-end unit trust feeder fund incorporated in the Philippines. The Fund aims to achieve long-term capital appreciation. The Fund invests in an equity collective investment scheme that invests mainly in equity securities of emerging markets companies.,http://www.atram.com.ph,Unit Trust,2013-11-13,USD
BDODMPI:PM,BDO Developed Markets Property Index Feeder Fund,BDO Developed Markets Property Index Feeder Fund is an open-end fund incorporated in Philippines. The Fund's objective is to provide investment returns. The Fund invests in a single collective investment scheme which is invested in a diversified portfolio of globally listed real estate companies and real estate investment trusts (REITs).,www.bdo.com.ph,Unit Trust,2015-04-30,USD
BDOEQIF:PM,BDO Equity Index Fund,BDO Equity Index Fund is an open-end fund incorporated in Philippines. The Fund's objective is to provide investors with a total return which reflects the return of the Philippine Stock Exchange Composite Index. The Fund invests in a diversified portfolio of stocks that so far as practicable consists of the component companies of the PSEi.,www.bdo.com.ph,Unit Trust,2015-07-10,PHP
BDOICRF:PM,BDO Institutional Cash Reserve Fund,"BDO Institutional Cash Reserve Fund is an open-end unit trust incorporated in the Philippines. The objective is to achieve mobilization of peso denominated investible funds to provide liquidity. The Fund invests in highly liquid government securities, deposits and fixed-income instruments with low price volatilities and a portfolio weighted average life of not more than 1 year.",www.bdo.com.ph,NA,2011-11-25,PHP
BDOMERB:PM,BDO Merit Fund Medium Term Portfolio,BDO Merit Fund Medium Term Portfolio is an open-end unit trust incorporated in the Philippines. The Fund's objective is to preserve capital and generate income from medium to long term fixed income securities with a portfolio weighted average life of not more than five years.,www.bdo.com.ph,Unit Trust,2010-04-30,PHP
BDODMMF:PM,BDO Dollar Money Market Fund,"BDO Dollar Money Market Fund is an open-end unit trust incorporated in the Philippines. The Fund aims to provide an investment outlet for risk-averse individuals and corporations who are looking for safe investments with yields higher than those of savings and time deposit accounts. The time horizon for investment in this fund is short term, i.e. less than 1 yr.",www.bdo.com.ph,NA,2005-04-29,USD
BDOPEIF:PM,BDO PERA Equity Index Fund,BDO PERA Equity Index Fund is an open-end fund incorporated in the Philippines. The Fund's objective is to achieve investment returns that track the performance of the Philippine Stock Exchange Index (PSEi). The Fund invests in a diversified portfolio of stocks.,www.bdo.com.ph,Unit Trust,2016-12-16,PHP
BDOTSDF:PM,BDO Sustainable Dividend Fund,BDO Sustainable Dividend Fund is an open-end unit trust incorporated in the Philippines. The Fund aims to achieve long-term capital appreciation. The Fund invests in domestic equity securities with sustainanble dividend yields.,www.bdo.com.ph,Unit Trust,2013-10-18,PHP
BDOUSEF:PM,BDO US Equity Feeder Fund,"BDO US Equity Feeder Fund is an open-end fund incorporated in Philippines. The Fund's objective is to generate long-term capital appreciation. The Fund invests in the securities of U.S. companies of any market capitalization that the Sub-Investment Manager believes are experiencing, or have potential to experience, above-average growth of earnings and/or cash flow.",www.bdo.com.ph,Unit Trust,2016-04-18,USD
BDOCEFF:PM,BDO China Equity Feeder Fund,"BDO China Equity Feeder Fund is an open-end fund incorporated in Philippines. The Fund's objective is to provide long-term capital growth. The Fund invests in a single foreign equity collective investment scheme, which is invested in a portfolio of equities and equity-related instruments of China-related companies traded both onshore and offshore China.",www.bdo.com.ph,Unit Trust,2015-10-29,USD
BDOPBAL:PM,BDO Peso Balanced Fund,BDO Peso Balanced Fund is an open-end unit trust incorporated in the Philippines. The Fund aims to provide an investment outlet for risk-taking clients who are aware of the potential for high yields in stock market investments but also are knowledgeable of the potential for capital losses in the same market.,www.bdo.com.ph,Unit Trust,2003-07-03,PHP
BDOGESF:PM,BDO Global Equity Select Feeder Fund,BDO Global Equity Select Feeder Fund is an open-end fund incorporated in Philippines. The Fund's objective is to provide long term growth. The Fund invests in a single collective investment scheme which is invested in a diversified and unconstrained portfolio of global equity assets.,www.bdo.com.ph,Unit Trust,2015-11-03,USD
BDODBF:PM,BDO Dollar Bond Fund,BDO Dollar Bond Fund is an open-end unit trust incorporated in the Philippines. The Fund seeks to provide an investment vehicle for risk-tolerant individuals and corporations who are looking for higher yields and willing to take the attendant risks due to the longer term of investments. The  time horizon for investment in this fund is medium to long-term.,www.bdo.com.ph,Unit Trust,2005-04-29,USD
BDOPFIF:PM,BDO Peso Bond Fund,BDO Peso Bond Fund (formerly BDO Peso Fixed Income Fund) is an open-end unit trust incorporated in the Philippines. The Fund aims to provide capital preservation and liquidity. The Fund invests in a combination of short to ong-term fixed income securities.,www.bdo.com.ph,Unit Trust,2005-04-29,PHP
EPCIBEQ:PM,BDO Equity Fund,BDO Equity Fund is an open-end unit trust incorporated in the Philippines. The objective of the Fund is to provide investors with higher returns through stock market investment at significant price volatilities. The Fund invests in a diversified portfolio of select equities and other marketable instruments.,www.bdo.com.ph,Unit Trust,2005-05-03,PHP
EPCIBGS:PM,BDO GS Fund,BDO GS Fund is an open-end unit trust incorporated in the Philippines. The Fund aims for capital preservation and income generation from investments in a diversified portfolio consisting of selected government securities that canprovide higher returns. This Fund is suitable for risk-tolerant investors who are looking for investments with moderate risks.,www.bdo.com.ph,Unit Trust,2005-05-03,PHP
EPCIBUS:PM,BDO Medium Term Dollar Bond Fund,BDO Medium Term Dollar Bond Fund is an open-end unit trust incorporated in the Philippines. The objective of the Fund is to achieve capital preservation and income generation. The Fund invests in higher yielding medium to long-term bond investments and other similar fixed income securities.,www.bdo.com.ph,Unit Trust,2005-05-03,USD
EPCIBME:PM,BDO Merit Fund Short Term Portfolio,BDO Merit Fund Short Term Portfolio is an open-end unit trust incorporated in the Philippines. It is a sub-fund of the BDO Merit Fund. The objective of the Fund is to preserve capital and generate income for tax-exempt entities from fixed-income securities with a portfolio weighted average life of at least one (1) year.,www.bdo.com.ph,Unit Trust,2005-12-19,PHP
BPIFIP:PM,BPI Fixed Income Portfolio Fund-of-Funds,BPI Fixed Income Portfolio Fund of Funds is an open-end unit trust incorporated in the Philippines. The Fund aims to provide principal protection. The Fund invests 0% to 10% of its assets in money market funds and 90% to 100% of its assets in bond funds.,www.bpiexpressonline.com,Unit Trust,2016-08-30,PHP
BPIPEIF:PM,BPI Philippine Equity Index Fund,BPI Philippine Equity Index Fund is an open-end unit trust incorporated in the Philippines. The Fund aims to achieve investment returns that track the performance of the Philippine Stock Exchange Index. The Fund invests in a diversified portfolio of stocks which are members of the index.,www.bpiexpressonline.com,Unit Trust,2013-05-20,PHP
BPIPIEI:PM,BPI Philippine Infrastructure Equity Index Fund,BPI Philippine Infrastructure Equity Index Fund is an open-end unit trust incorporared in the Philippines. The Fund aims to achieve investment returns that track the performance of the BPI Philippine Infrastructure Equity Index. The Fund invests in a diversified portfolio of stocks in the same weights as the index.,www.bpiexpressonline.com,Unit Trust,2017-01-16,PHP
BPIGLPH:PM,BPI U.S. Dollar Short Term Fun,BPI U.S. Dollar Short Term Fund UITF is an open-end unit trust incorporated in the Philippines. The Fund aims to achieve liquidity and stable income. The Fund invests in a diversified portfolio of foreign currency-denominated short-term fixed income instruments.,www.bpiexpressonline.com,Unit Trust,1994-08-30,USD
BPIUSFF:PM,BPI US Equity Index Feeder Fund,"BPI US Equity Index Feeder Fund is an open-end unit trust feeder fund incorporated in Philippines. The Fund's objective is to achieve returns that clo sely track the total return of the S&P 500 Index, before fees and expenses. The Fund invests in single index-tracker collective investment fund, short-term tradable fixed-income instruments issued by Philippine government, etc.",www.bpiexpressonline.com,Unit Trust,2014-08-04,USD
BPIEQBL:PM,BPI Balanced Fund,BPI Balanced Fund UITF is an open-end unit trust incorporated in the Philippines. The Fund aims to achieve long-term capital growth. The Fund invests in a diversified portfolio of equity and fixed income securities.,www.bpiexpressonline.com,Unit Trust,2005-04-01,PHP
BPIPRUI:PM,BPI Premium Bond UITF,"BPI Premium Bond Fund is an open-end unit trust incorporated in the Philippines. The Fund's objective is to achieve for its investment returns from a diversified portfolio of medium-term fixed income instruments. The Fund shall invest only in a diversified portfolio of fixed-income securities such as, but  not limited to, high-grade government securities, private commercial papers.",www.bpiexpressonline.com,Unit Trust,2005-04-04,PHP
BPIPCEI:PM,BPI Philippine Consumer Equity Index Fund,BPI Philippine Consumer Equity Index Fund is an open-end unit trust incoporated in the Philippines. The Fund aims to achieve investment returns that track the performance of the BPI Philippine Consumer Equity Index. The Fund invests in a diversified portfolio of stocks in the same weights as the index.,www.bpiexpressonline.com,Unit Trust,2017-01-16,PHP
BPSTUIT:PM,BPI Short Term UITF,BPI Short Term UITF is an open-end unit trust incorporated in the Philippines. The Fund aims to generate liquidity and stable income. The Fund invests in a diversified portfolio of primarily short-term fixed income instruments.,www.bpiexpressonline.com,NA,2005-04-04,PHP
BPPHDEF:PM,BPI Philippine High Dividend Equity Fund,BPI Philippine High Dividend Equity Fund is an open-end unit trust incorporated in the Philippines. The Fund aims to achieve long-term capital appreciation. The Fund invests in companies that have high dividend yields or have establied a history of dividend payouts.,www.bpiexpressonline.com,Unit Trust,2013-08-16,PHP
CNBKDOF:PM,China Banking Corp - ChinaBank DollarFund,"China Bank DollarFund is an open-end unit trust incorporated in the Philippines. The objective of the Fund is to achieve better than average yields in return. The Fund will invest in a diversified portfolio of US$-denominated high-grade fixed income securities with short to long-term tenors, comprised mainly of ROP bonds.",www.chinabank.ph,Unit Trust,2005-09-09,USD
CNBKBLF:PM,China Banking Corp - ChinaBank Balanced Fund,China Bank Balanced Fund is an open-end unit trust incorporated in the Philippines. The Fund aims to provide capital appreciation and income by investing in a diversified portfolio of fixed income and equity securities.,www.chinabank.ph,Unit Trust,2011-02-18,PHP
CNBHDEF:PM,China Banking Corp - ChinaBank High Dividend Equity Fund,China Bank High Dividend Equity Fund is an open-end unit trust incorporated in the Philippines. The Fund aims to provide capital appreciation. The Fund invests up to 90% of its assets in equities and 10% in fixed income securities and deposits.,www.chinabank.ph,Unit Trust,2015-06-26,PHP
CNBEQYF:PM,China Banking Corp - ChinaBank Equity Fund,China Bank Equity Fund is an open-end unit trust incorporated in the Philippines. The Fund aims to provide capital appreciation. The Fund invests in a diversified portfolio of equities listed in the Philippine Stock Exchange.,www.chinabank.ph,Unit Trust,2013-06-11,PHP
CNBMMKF:PM,China Banking Corp - ChinaBank Money Market Fund,China Bank Money Market Fund is an open-end unit trust incorporated in the Philippines. The Fund aims to provide liquidity. The Fund invests in short term fixed-income securties with an average duration not exceeding one year.,www.chinabank.ph,NA,2009-02-20,PHP
CNBIMMF:PM,China Banking Corp - ChinaBank Institutional Money Market Fund,China Bank Institutional Money Market Fund is an open-end unit trust incorporated in the Philippines. The Fund aims to provide liquidity. The Fund invests in a diversified portfolio of money market instruments.,www.chinabank.ph,NA,2015-06-26,PHP
CNBKGSF:PM,China Banking Corp - ChinaBank GS Fund,China Bank GS Fund is an open-end unit trust incorporated in the Philippines. The objective of the Fund is to achieve above average returns. The Fund will invest in peso-donominated government securities with tenors ranging from short to medium-term.,www.chinabank.ph,Unit Trust,2006-03-24,PHP
CNBSTFD:PM,China Banking Corp - ChinaBank Short Term Fund,China Bank Short-Term Fund is an open-end unit trust incorporated in the Philippines. The Fund aims to achieve a high level of liquidity. The Fund invests in a diverse portfolio of marketable financial instruments with an average duration not exceeding one year.,www.chinabank.ph,NA,2014-05-22,PHP
CNBINTFI:PM,China Banking Corp - ChinaBank Intermediate Fixed Income Fund,China Bank Intermediate Fixed Income Fund is an open-end unit trust incorporated in the Philippines. The Fund aims to achieve income in the intermediate term. The Fund invests in high-grade marketable fixed income securities with an average duration not exceeding three years.,www.chinabank.ph,Unit Trust,2014-05-22,PHP
EASPQRF:PM,EastWest PhilEquity Feeder Fund,EastWest PhilEquity Feeder Fund is an open-end unit trust feeder fund incorporated in Philippines. The Fund's objective is to provide long-term capital appreciation. The Fund is participating in the growth of share values of corporations listed  on the Philippine Stock Exchange.,www.eastwestbanker.com,Unit Trust,2014-10-29,PHP
EASPQTK:PM,EastWest PSEI Tracker Fund,EastWest PSEI Tracker Fund is an open-end fund incorporated in Philippines. The Fund's objective is to achieve investment returns that track the performance of the Philippine Stock Exchange Index (PSEi). The Fund invests in a diversified portfolio of stocks comprising the PSEi in the same weights as the index.,www.eastwestbanker.com,Unit Trust,2015-11-02,PHP
EASITBF:PM,EastWest Peso Intermediate Term Bond Fund,"EastWest Peso Intermediate Term Bond Fund is an open-end unit trust incorporated in the Philippines. The Fund's objective is to earn intermediate-term returns higher than traditional bank deposits. The Fund invests in government securities , corporate bonds and notes and term deposits. The Fund maintains a total portfolio duration of more than one year to less than three years.",www.eastwestbanker.com,Unit Trust,2005-02-18,PHP
EASPQIF:PM,EastWest PhilEquity Institutional Feeder Fund,EastWest PhilEquity Institutional Feeder Fund is an open-end unit trust feeder fund incorporated in Philippines. The Fund's objective is to provide long-term capital appreciation. The Fund is participating in the growth of share values of corporations listed on the Philippine Stock Exchange. The investment horizon is at least 5 years.,www.eastwestbanker.com,Unit Trust,2014-09-22,PHP
EASPSTF:PM,EastWest Peso Short Term Fund,EastWest Peso Short Term Fund is an open-end unit trust incorporated in the Philippines. The Fund aims to provide its participants liquidity and stable income derived from a diversified portfolio of fixed income instruments.,www.eastwestbanker.com,Unit Trust,2016-06-21,PHP
EASLTBF:PM,EastWest Peso Long Term Bond Fund,EastWest Peso Long Term Bond Fund is an open-end unit trust incorporated in the Phillipines. The Fund's objective is to maximize the returns of the investors. The Fund invests in a diversified portfolio of deposits and tradable investment- grade debt securities issued by Philippines government and corporations. Portfolio duration is more than 5 years,www.eastwestbanker.com,Unit Trust,2007-03-01,PHP
EASPMON:PM,EastWest Peso Money Market Fund,"EastWest Peso Money Market Fund is an open-end unit trust incorporated in the Philippines. The Fund's objective is to provide investors with enhanced yields for their short term liquidity needs. The Fund invests in adiversified portfolio of short-term, highly liquid fixed income securities, term deposits and other money market instruments, with duration is 1 year or less.",www.eastwestbanker.com,NA,2007-03-01,PHP
EASDITB:PM,EastWest Dollar Intermediate Term Bond Fund,"EastWest Dollar Intermediate Term Bond Fund is an open-end unit trust incorporated in Philippines. The Fund's objective is to provide the potential to earn enhanced intermediate-term returns. The Fund invests in in sovereign bonds issued by the Republic of the Philippines and other countries, corporate notes and bonds, term deposits and other tradable instruments.",www.eastwestbanker.com,Unit Trust,2005-03-18,USD
MBIPLUS:PM,Metro Wealth Builder,Metro Wealth Builder is an open-end unit trust incorporated in the Philippines. The Fund aims to achieve moderate income that exceeds inflation by investing in a diversified portfolio of higher-yielding fixed income securities.,www.metrobank.com.ph,Unit Trust,2005-04-26,PHP
MBCAPGR:PM,Metro Balanced Fund,Metro Balanced Fund is an open-end unit trust Incorporated in the Philippines. The Fund aims to achieve long-term capital and income growth by investing in a diversified portfolio of equities listed at the Philippine Stock Exchange and in Philippine fixed income securities,www.metrobank.com.ph,Unit Trust,2005-04-08,PHP
MBEQITY:PM,Metro Equity Fund,Metro Equity Fund is an open-end unit trust incorporated in the Philippines. The Fund aims to achieve attractively high investment return through capital appreciation over recommended investment horizon. The Fund will invest in Philippine Stock Exchange listed equities.,www.metrobank.com.ph,Unit Trust,2007-03-01,PHP
MBDMMKF:PM,Metro$ Money Market Fund,Metro$ Money Market Fund is an open-end unit trust incorporated in the Philippines. The Fund aims to preserve value of investment by achieving income at pace with inflation. The Fund may invest in deposits and deposit instruments as well as  US-Dollar denominated Philippine sovereign & corporate fixed income securities.,www.metrobank.com.ph,NA,2007-03-01,USD
MBELITE:PM,Metro Max-3 Bond Fund,Metro Max-3 Bond Fund is an open-end unit trust incorporated in the Philippines. The Fund aims to achieve income that exceeds inflation by investing in a diversified portfolio of higher-yielding fixed income securities.,www.metrobank.com.ph,Unit Trust,2005-04-08,PHP
MBSTART:PM,Metro Money Market Fund,Metro Money Market Fund is an open-end unit trust incorporated in the Philippines. The Fund aims to achieve stable income to keep pace with inflation and preserve value of investment by investing in a diversified portfolio of high-yielding fixed income securities.,www.metrobank.com.ph,NA,2005-04-04,PHP
MBPHLIQ:PM,Metro$ Max-3 Bond Fund,Metro$ Max-3 Bond Fund is an open-end unit trust incorporated in the Philippines . The Fund aims to achieve income in the intermediate term that exceeds inflation by investing in a diversified portfolio of high-yielding US Dollar fixed income securities.,www.metrobank.com.ph,Unit Trust,2005-04-05,USD
MBPKEAR:PM,Metro Max-5 Bond Fund,Metro Max-5 Bond Fund is an open-end unit trust incorporated in the Philippines. The Fund aims to achieve income that exceeds inflation by investing in a diversified portfolio of higher-yielding fixed income securities.,www.metrobank.com.ph,Unit Trust,2005-04-06,PHP
MBPSEIT:PM,METRO PSEi TRACKER FUND,Metro PSEi Tracker Fund is an open-end unit trust incorporated in the Philippines. The Fund aims to achieve for its participants market returns closely approximating the returns of the Philippine Stock Exchange Index (PSEi). The Fund will be invested in the same issues comprising the PSEi and in approximately the same weights.,www.metrobank.com.ph,Unit Trust,2014-10-10,PHP
MSTFUND:PM,Metro Short Term Fund,Metro Short Term Fund is an open-end unit trust incorporated in the Philippines. The Fund aims to provide liquidity and income. The Fund invests its assets in a diversified portfolio of peso-denominated money market instruments and fixed income securities with a maximum weighted average duration of one year.,www.metrobank.com.ph,NA,2017-03-15,PHP
MCBFUND:PM,Metro Corporate Bond Fund,Metro Corporate Bond Fund is an open-end unit trust incorporated in the Philippines. The Fund aims to provide income and capital appreciation. The Fund invests in a diversified portfolio of predominantly peso-denominated corporate fixed income securities with a maximum weighted average duration of eight years.,www.metrobank.com.ph,Unit Trust,2016-11-23,PHP
MBPHLBD:PM,Metro$ Max-5 Bond Fund,Metro$ Max-5 Bond Fund is an open-end unit trust incorporated in the Philippines. The Fund aims to achieve competitive income that exceed inflation in the medium term by investing in a diversified portfolio of high-yielding US Dollar fixed income securities.,www.metrobank.com.ph,Unit Trust,2005-04-28,USD
FMSLBAL:PM,First Metro Save & Learn-Balanced Fund,First Metro Save & Learn Balanced Fund is an open-end mutual fund incorporated in the Philippines. The Fund seeks to provide total return consisting of as high a level of current income as is consistent with the preservation of capital and liquidity and long-term capital appreciation. The Fund will invest in a mix of debt instruments and equity securities.,www.fami.com.ph,Open-End Fund,2007-05-11,PHP
MBASPEQ:PM,Metro Aspire Equity Feeder Fund,"Metro Aspire Equity Feeder Fund is an open-end unit trust feeder fund incorporated in the Philippines. The Fund aims to achieve for its participants market returns primarily by investing in the Target Fund, Metro PSEi Tracker Fund.",www.metrobank.com.ph,Unit Trust,2015-08-27,PHP
MBASPBA:PM,Metro Aspire Balanced Feeder Fund,"Metro Aspire Balanced Feeder Fund is an open-end unit trust feeder fund incorporated in the Philippines. The Fund aims to provide growth and income primarily by investing in the Target Fund, Metro Balanced Fund.",www.metrobank.com.ph,Unit Trust,2015-08-27,PHP
MWEFDER:PM,Metro World Equity Feeder Fund,"Metro World Equity Feeder Fund is an open-end unit trust feeder fund incorporated in The Philippines. The Fund aims to provide long term capital appreciation. The Fund invests in a collective investment scheme, Target Fund, focused on investing in equity securites of companies worldwide. The Target fund is the Investec Strategic Global Equity Fund.",www.metrobank.com.ph,Unit Trust,2016-09-21,USD
FMSLEQT:PM,First Metro Save & Learn Equity Fund,First Metro Save & Learn Equity Fund is an open-end mutual fund incorporated in the Philippines. The Fund's objective is to seek long-term capital appreciation. The Fund invests primarily in carefully selected listed and non-listed equity securities.,www.fami.com.ph,Open-End Fund,2005-09-06,PHP
FMSLFIX:PM,First Metro Save & Learn Fixed-Income Fund,First Metro Save & Learn Fixed-Income Fund is an open-end mutual fund incorporated in the Philippines. The Fund's objective is to seek to provide as high a level of current income as is consistent with the preservation of capital and liquidity. The Fund invests primarily in debt instruments.,www.fami.com.ph,Open-End Fund,2005-09-06,PHP
PNBMHPT:PM,PNB Prestige Balanced Fund,PNB Prestige Balanced Fund is an open-end peso-denominated unit trust incorporated in the Philippines. The Fund's objective is to achieve decent income accumulation. The Fund invests primarily in short-term fixed income instruments.,www.pnb.com.ph,Unit Trust,2006-03-08,PHP
