Symbol,Name,Country,Type,Industry/Objective
ABQ/H:CN,Abcana Capital Inc,CA,Common Stock,Capital Pools
EURIB:SS,European Institute of Science AB,SE,Common Stock,Venture Capital
ABDC:US,Alcentra Capital Corp,US,Common Stock,Investment Companies
ABA:PM,AbaCore Capital Holdings Inc,PH,Common Stock,Investment Companies
ABCOAMA:LX,Abersand Capital SICAV-COAM,LU,Open-End Fund,Dynamic Allocation
ABFLXCP:TB,Aberdeen Flexible Capital Fund,TH,Open-End Fund,Global Allocation
ABYIX:US,Abbey Capital Futures Strategy Fund,US,Open-End Fund,Managed Futures Discretionary
ABCAPEQ:PM,AB Capital Equity Fund UITF,PH,Open-End Fund,Growth Broad Market
ABUAX:US,Columbia Capital Allocation Moderate Portfolio,US,Fund of Funds,Moderate Allocation
ABDAX:US,Columbia Capital Allocation Conservative Portfolio,US,Fund of Funds,Conservative Allocation
ABSCRMF:TB,Aberdeen Smart Capital Retirement Mutual Fund,TH,Open-End Fund,Growth Broad Market
ABYTX:US,Abbey Capital Futures Strategy Fund,US,Open-End Fund,Managed Futures Discretionary
ABYAX:US,Abbey Capital Futures Strategy Fund,US,Open-End Fund,Managed Futures Discretionary
ABNCPSE:CH,Manulife Teda Capitalization Selection Equity Fund,CN,Open-End Fund,Aggressive Allocation
ABNRFCA:BZ,Santander FI Renda Fixa Capitalization,BR,Open-End Fund,Government Bond
ABBDX:US,Columbia Capital Allocation Conservative Portfolio,US,Fund of Funds,Conservative Allocation
ABYCX:US,Abbey Capital Futures Strategy Fund,US,Open-End Fund,Managed Futures Discretionary
ACSL:IN,Abhinav Capital Services Ltd,IN,Common Stock,Finance-Commercial
ECEX:SS,East Capital Explorer AB,SE,Common Stock,Diversified Finan Serv
ABESNDA:LX,Abersand Capital Sicav - Total Return Portfolio,LU,Open-End Fund,Global Allocation
HILCAPI:LN,Aberdeen Capital Trust,GB,Open-End Fund,Foreign Blend
ACMDX:US,Absolute Capital Defender Fund,US,Open-End Fund,Global Allocation
S3727:SM,Abedul Capital Sicav SA,ES,Open-End Fund,Global Allocation
PCABSOL:BZ,Platinum Capital Absoluto FIA,BR,Open-End Fund,Aggressive Allocation
ACMIX:US,Absolute Capital Defender Fund,US,Open-End Fund,Global Allocation
CAPOX:US,Absolute Capital Opportunities Fund,US,Open-End Fund,Multi Strategy
ACMAX:US,Absolute Capital Defender Fund,US,Open-End Fund,Global Allocation
HCAPTRU:CB,FIC Abierta Capital Trust,CO,Open-End Fund,Foreign Aggregate Bond
OTEAARI:FP,OTEA Capital - Otea Absolute Return,FR,Open-End Fund,Market Neutral
CIGGBDS:LX,Capital Group Global Absolute Income Grower,LU,Open-End Fund,Foreign Value
AAMCX:US,Absolute Capital Asset Allocator Fund,US,Open-End Fund,Global Allocation
CIGAIZG:LX,Capital Group Global Absolute Income Grower,LU,Open-End Fund,Foreign Value
KJLCARR:GR,KJL Capital Absolute Return I UI,DE,Open-End Fund,Dynamic Allocation
CAIGZLC:LX,Capital Group Global Absolute Income Grower,LU,Open-End Fund,Foreign Value
CIGGRBU:LX,Capital Group Global Absolute Income Grower,LU,Open-End Fund,Foreign Value
OTEAARR:FP,OTEA Capital - Otea Absolute Return,FR,Open-End Fund,Market Neutral
CIGGBDU:LX,Capital Group Global Absolute Income Grower,LU,Open-End Fund,Foreign Value
CIGZDHG:LX,Capital Group Global Absolute Income Grower,LU,Open-End Fund,Foreign Value
CAAVCAG:LE,Abacus Value Capital Fund AGmvK,LI,Open-End Fund,Dynamic Allocation
CIGAZDC:LX,Capital Group Global Absolute Income Grower,LU,Open-End Fund,Foreign Value
ETL0469:AU,Dalton Street Capital Absolute Return Fund,AU,Open-End Fund,Long Short
AAMIX:US,Absolute Capital Asset Allocator Fund,US,Open-End Fund,Global Allocation
CIGAZDC:LX,Capital Group Global Absolute Income Grower,LU,Open-End Fund,Foreign Value
EMPMZII:BZ,RPW Empresta Capital Microfinancas FIDC Aberto,BR,FIDC,Asset-Backed Securities
CGGAINE:LX,Capital Group Global Absolute Income Grower,LU,Open-End Fund,Foreign Value
CAIGZLY:LX,Capital Group Global Absolute Income Grower,LU,Open-End Fund,Foreign Value
CIGGBDH:LX,Capital Group Global Absolute Income Grower,LU,Open-End Fund,Foreign Value
CAIGZLE:LX,Capital Group Global Absolute Income Grower,LU,Open-End Fund,Foreign Value
FCXIX:US,Fasanara Capital Absolute Return Multi-Asset Fund,US,Open-End Fund,Multi Strategy
FIDC307:BZ,RPW Empresta Capital Microfinancas FIDC Aberto,BR,FIDC,Asset-Backed Securities
CIGAIZE:LX,Capital Group Global Absolute Income Grower,LU,Open-End Fund,Foreign Value
LUTABSS:FP,Lutetia Capital - Lutetia Absolute Return,FR,Open-End Fund,Global Allocation
CIGADHE:LX,Capital Group Global Absolute Income Grower,LU,Open-End Fund,Foreign Value
CIGGCDU:LX,Capital Group Global Absolute Income Grower,LU,Open-End Fund,Foreign Value
FIDC306:BZ,RPW Empresta Capital Microfinancas FIDC Aberto,BR,FIDC,Asset-Backed Securities
CSCAEII:LX,Cape Capital SICAV-Sif-Cape Absolute Equity Fund,LU,Open-End Fund,Market Neutral
PSGSMAL:SS,PSG Capital AB - Small Cap,SE,Open-End Fund,Nordic Region
CAIGNDU:LX,Capital Group Global Absolute Income Grower,LU,Open-End Fund,Foreign Value
CAIGZDE:LX,Capital Group Global Absolute Income Grower,LU,Open-End Fund,Foreign Value
CAIGZLG:LX,Capital Group Global Absolute Income Grower,LU,Open-End Fund,Foreign Value
CIGAZDE:LX,Capital Group Global Absolute Income Grower,LU,Open-End Fund,Foreign Value
CIGGBDH:LX,Capital Group Global Absolute Income Grower,LU,Open-End Fund,Foreign Value
CAIGZLE:LX,Capital Group Global Absolute Income Grower,LU,Open-End Fund,Foreign Value
CAIGZLY:LX,Capital Group Global Absolute Income Grower,LU,Open-End Fund,Foreign Value
LUTABSI:FP,Lutetia Capital - Lutetia Absolute Return,FR,Open-End Fund,Global Allocation
CIGAITU:LX,Capital Group Global Absolute Income Grower,LU,Open-End Fund,Foreign Value
IPSAX:US,IPS Strategic Capital Absolute Return Fund,US,Open-End Fund,Long Short
CAIGZLH:LX,Capital Group Global Absolute Income Grower,LU,Open-End Fund,Foreign Value
CAIGZLU:LX,Capital Group Global Absolute Income Grower,LU,Open-End Fund,Foreign Value
CIGAZDG:LX,Capital Group Global Absolute Income Grower,LU,Open-End Fund,Foreign Value
CIGGRBE:LX,Capital Group Global Absolute Income Grower,LU,Open-End Fund,Foreign Value
CIGGBDC:LX,Capital Group Global Absolute Income Grower,LU,Open-End Fund,Foreign Value
CIGAITD:LX,Capital Group Global Absolute Income Grower,LU,Open-End Fund,Foreign Value
CIGAITE:LX,Capital Group Global Absolute Income Grower,LU,Open-End Fund,Foreign Value
CGGAINU:LX,Capital Group Global Absolute Income Grower,LU,Open-End Fund,Foreign Value
CIGAZDU:LX,Capital Group Global Absolute Income Grower,LU,Open-End Fund,Foreign Value
FIDC305:BZ,RPW Empresta Capital Microfinancas FIDC Aberto,BR,FIDC,Asset-Backed Securities
CIA4DHE:LX,Capital Group Global Absolute Income Grower,LU,Open-End Fund,Foreign Value
CIGGBDE:LX,Capital Group Global Absolute Income Grower,LU,Open-End Fund,Foreign Value
CIGGCDJ:LX,Capital Group Global Absolute Income Grower,LU,Open-End Fund,Foreign Value
CIGAIZU:LX,Capital Group Global Absolute Income Grower,LU,Open-End Fund,Foreign Value
CIGATDU:LX,Capital Group Global Absolute Income Grower,LU,Open-End Fund,Foreign Value
FIDC305:BZ,RPW Empresta Capital Microfinancas FIDC Aberto,BR,FIDC,Asset-Backed Securities
CIA4DHE:LX,Capital Group Global Absolute Income Grower,LU,Open-End Fund,Foreign Value
CIGAIZC:LX,Capital Group Global Absolute Income Grower,LU,Open-End Fund,Foreign Value
KJLCARI:GR,KJL Capital Absolute Return I UI,DE,Open-End Fund,Dynamic Allocation
CIGGCDC:LX,Capital Group Global Absolute Income Grower,LU,Open-End Fund,Foreign Value
KCARHAE:ID,Kames Capital - Absolute Return Bond Fund,IE,Open-End Fund,Foreign Aggregate Bond
NCIAIGC:LX,Nextam Partners - Capital International Absolute Income Grower,LU,Open-End Fund,Global Allocation
PUKAERU:ID,Polar Capital Funds PLC - UK Absolute Equity Fund,IE,Open-End Fund,Multi Strategy
CGLEFUB:TT,Capital Global Abundant Income Fund of Funds,TW,Fund of Funds,Foreign Blend
PUKARHU:ID,Polar Capital Funds PLC - UK Absolute Equity Fund,IE,Open-End Fund,Multi Strategy
CGLEFTA:TT,Capital Global Abundant Income Fund of Funds,TW,Fund of Funds,Foreign Blend
GFWRLDA:LX,Abersand Capital SICAV - Globalfolio World Equities,LU,Open-End Fund,Foreign Blend
PUKAESS:ID,Polar Capital Funds PLC - UK Absolute Equity Fund,IE,Open-End Fund,Multi Strategy
PUKASHU:ID,Polar Capital Funds PLC - UK Absolute Equity Fund,IE,Open-End Fund,Multi Strategy
CGLEFAA:TT,Capital Global Abundant Income Fund of Funds,TW,Fund of Funds,Foreign Blend
KCARBBE:ID,Kames Capital - Absolute Return Bond Fund,IE,Open-End Fund,Foreign Aggregate Bond
NCIAIGD:LX,Nextam Partners - Capital International Absolute Income Grower,LU,Open-End Fund,Global Allocation
KCARHAC:ID,Kames Capital - Absolute Return Bond Fund,IE,Open-End Fund,Foreign Aggregate Bond
CGLEFTB:TT,Capital Global Abundant Income Fund of Funds,TW,Fund of Funds,Foreign Blend
CONCARA:LX,Confluence Capital SICAV-SIF - Absolute Return Fund,LU,Open-End Fund,N.A.
PUKAESU:ID,Polar Capital Funds PLC - UK Absolute Equity Fund,IE,Open-End Fund,Multi Strategy
PUKAEIS:ID,Polar Capital Funds PLC - UK Absolute Equity Fund,IE,Open-End Fund,Multi Strategy
MLPPMCA:AU,MLC MasterKey Pension - PM CAPITAL Absolute Performance Fund,AU,Open-End Fund,Foreign Blend
GFWEQAI:LX,Abersand Capital SICAV - Globalfolio Equity Allocation,LU,Open-End Fund,N.A.
KARBHAU:ID,Kames Capital - Absolute Return Bond Fund,IE,Open-End Fund,Foreign Aggregate Bond
PUKARHE:ID,Polar Capital Funds PLC - UK Absolute Equity Fund,IE,Open-End Fund,Multi Strategy
KCAUCAH:ID,Kames Capital - Absolute Return Bond Fund,IE,Open-End Fund,Foreign Aggregate Bond
NCIAIGA:LX,Nextam Partners - Capital International Absolute Income Grower,LU,Open-End Fund,Global Allocation
GFWDFIA:LX,Abersand Capital SICAV - Globalfolio Fixed Income,LU,Open-End Fund,N.A.
PUKAERE:ID,Polar Capital Funds PLC - UK Absolute Equity Fund,IE,Open-End Fund,Multi Strategy
MCAPGRN:PL,Multireforma Capital Garantido Fundo de Pensoes Aberto,PT,Open-End Fund,Dynamic Allocation
GFWRLDI:LX,Abersand Capital SICAV - Globalfolio World Equities,LU,Open-End Fund,Foreign Blend
PUKAEIE:ID,Polar Capital Funds PLC - UK Absolute Equity Fund,IE,Open-End Fund,Multi Strategy
PUKASHE:ID,Polar Capital Funds PLC - UK Absolute Equity Fund,IE,Open-End Fund,Multi Strategy
FINCAPT:PL,Montepio Capital - Fundo de Investimento Aberto de Accoes,PT,Open-End Fund,Multiple Region
PUKAESE:ID,Polar Capital Funds PLC - UK Absolute Equity Fund,IE,Open-End Fund,Multi Strategy
KCARACE:ID,Kames Capital - Absolute Return Bond Fund,IE,Open-End Fund,Foreign Aggregate Bond
BZCAPFB:AR,Balanz Capital Abierto Pymes Fondo Comun de Inversion,AR,Open-End Fund,Aggressive Allocation
KCARCAS:ID,Kames Capital - Absolute Return Bond Fund,IE,Open-End Fund,Foreign Aggregate Bond
PUKAIHE:ID,Polar Capital Funds PLC - UK Absolute Equity Fund,IE,Open-End Fund,Multi Strategy
KARBHIE:ID,Kames Capital - Absolute Return Bond Fund,IE,Open-End Fund,Foreign Aggregate Bond
BZCAPFB:AR,Balanz Capital Abierto Pymes Fondo Comun de Inversion,AR,Open-End Fund,Aggressive Allocation
PUKAERS:ID,Polar Capital Funds PLC - UK Absolute Equity Fund,IE,Open-End Fund,Multi Strategy
RFACARU:LX,RF Capital - Acru China + Absolute Return UCITS,LU,Open-End Fund,Multiple Country
CGLEFAB:TT,Capital Global Abundant Income Fund of Funds,TW,Fund of Funds,Foreign Blend
KCAUCSH:ID,Kames Capital - Absolute Return Bond Fund,IE,Open-End Fund,Foreign Aggregate Bond
MCAPGRN:PL,Multireforma Capital Garantido Fundo de Pensoes Aberto,PT,Open-End Fund,Dynamic Allocation
MMSPMAP:AU,MLC MasterKey Super - PM CAPITAL Absolute Performance Fund,AU,Open-End Fund,Foreign Blend
PUKAEIU:ID,Polar Capital Funds PLC - UK Absolute Equity Fund,IE,Open-End Fund,Multi Strategy
RFACAIU:LX,RF Capital - Acru China + Absolute Return UCITS,LU,Open-End Fund,Multiple Country
CGLEFZB:TT,Capital Global Abundant Income Fund of Funds,TW,Fund of Funds,Foreign Blend
CGLEFZA:TT,Capital Global Abundant Income Fund of Funds,TW,Fund of Funds,Foreign Blend
KCARAAE:ID,Kames Capital - Absolute Return Bond Fund,IE,Open-End Fund,Foreign Aggregate Bond
KARBBIG:ID,Kames Capital - Absolute Return Bond Fund,IE,Open-End Fund,Foreign Aggregate Bond
GFWEQAA:LX,Abersand Capital SICAV - Globalfolio Equity Allocation,LU,Open-End Fund,N.A.
KCARBBG:ID,Kames Capital - Absolute Return Bond Fund,IE,Open-End Fund,Foreign Aggregate Bond
KCARBBU:ID,Kames Capital - Absolute Return Bond Fund,IE,Open-End Fund,Foreign Aggregate Bond
CGLEFUA:TT,Capital Global Abundant Income Fund of Funds,TW,Fund of Funds,Foreign Blend
KCARCAS:ID,Kames Capital - Absolute Return Bond Fund,IE,Open-End Fund,Foreign Aggregate Bond
PUKAIHE:ID,Polar Capital Funds PLC - UK Absolute Equity Fund,IE,Open-End Fund,Multi Strategy
FCECPLU:CB,Fondo De Inversion Colectiva Abierto Con Pacto De Permanencia Capital Plus,CO,Open-End Fund,Conservative Allocation
KACCUSH:ID,Kames Capital Investment Co PLC-Kames Absolute Return Bond Global Fund,IE,Open-End Fund,Foreign Aggregate Bond
KCABEHI:ID,Kames Capital Investment Co PLC-Kames Absolute Return Bond Global Fund,IE,Open-End Fund,Foreign Aggregate Bond
OPTCAEQ:PL,Optimize Capital Reforma PPR Equilibrado - Fundo de Investimento Aberto,PT,Open-End Fund,Conservative Allocation
KCABACE:ID,Kames Capital Investment Co Ireland PLC - Absolute Return Bond Constrained Fund,IE,Open-End Fund,Foreign Aggregate Bond
KCABCSH:ID,Kames Capital Investment Co Ireland PLC - Absolute Return Bond Constrained Fund,IE,Open-End Fund,Foreign Aggregate Bond
JANARUG:ID,Janus Capital Funds PLC - Janus Absolute Return Income Fund,IE,Open-End Fund,Foreign Aggregate Bond
KCABAGH:ID,Kames Capital Investment Co Ireland PLC - Absolute Return Bond Constrained Fund,IE,Open-End Fund,Foreign Aggregate Bond
KCABING:ID,Kames Capital Investment Co PLC-Kames Absolute Return Bond Global Fund,IE,Open-End Fund,Foreign Aggregate Bond
KACACCH:ID,Kames Capital Investment Co PLC-Kames Absolute Return Bond Global Fund,IE,Open-End Fund,Foreign Aggregate Bond
KACACCG:ID,Kames Capital Investment Co PLC-Kames Absolute Return Bond Global Fund,IE,Open-End Fund,Foreign Aggregate Bond
KCABCBS:ID,Kames Capital Investment Co Ireland PLC - Absolute Return Bond Constrained Fund,IE,Open-End Fund,Foreign Aggregate Bond
JAARAEI:ID,Janus Capital Funds PLC - Janus Absolute Return Income Fund,IE,Open-End Fund,Foreign Aggregate Bond
JANARUE:ID,Janus Capital Funds PLC - Janus Absolute Return Income Fund,IE,Open-End Fund,Foreign Aggregate Bond
KARBCSH:ID,Kames Capital Investment Co PLC-Kames Absolute Return Bond Global Fund,IE,Open-End Fund,Foreign Aggregate Bond
PENNREB:ID,Pensato Capital Fund PLC - Pensato Europa Absolute Return Fund,IE,Open-End Fund,Long Short
JAARIIE:ID,Janus Capital Funds PLC - Janus Absolute Return Income Fund,IE,Open-End Fund,Foreign Aggregate Bond
KCABAGI:ID,Kames Capital Investment Co PLC-Kames Absolute Return Bond Global Fund,IE,Open-End Fund,Foreign Aggregate Bond
KARBCSH:ID,Kames Capital Investment Co PLC-Kames Absolute Return Bond Global Fund,IE,Open-End Fund,Foreign Aggregate Bond
KCACACE:ID,Kames Capital Investment Co Ireland PLC - Absolute Return Bond Constrained Fund,IE,Open-End Fund,Foreign Aggregate Bond
CAIXCAP:PL,Postal Capitalizacao - Fundo de Investimento Mobiliario Aberto de Obrigacoes de,PT,Open-End Fund,European Union
JANARAE:ID,Janus Capital Funds PLC - Janus Absolute Return Income Fund,IE,Open-End Fund,Foreign Aggregate Bond
PENREGB:ID,Pensato Capital Fund PLC - Pensato Europa Absolute Return Fund,IE,Open-End Fund,Long Short
PENREEB:ID,Pensato Capital Fund PLC - Pensato Europa Absolute Return Fund,IE,Open-End Fund,Long Short
MERCEAR:ID,Merrion Capital Investment Funds plc - Merrion European Absolute Return Fund,IE,Open-End Fund,Long Short
JANARUU:ID,Janus Capital Funds PLC - Janus Absolute Return Income Fund,IE,Open-End Fund,Foreign Aggregate Bond
UCLBCAU:LX,Ucap Luxembourg Fund Series SCA SICAV-Fis-B Capital Global Absolute Return Fund,LU,Fund of Funds,N.A.
KACINGB:ID,Kames Capital Investment Co PLC-Kames Absolute Return Bond Global Fund,IE,Open-End Fund,Foreign Aggregate Bond
JAARSAU:ID,Janus Capital Funds PLC - Janus Absolute Return Income Fund,IE,Open-End Fund,Foreign Aggregate Bond
MLC0634:AU,MLC MasterKey Term Allocated Pension - PM Capital Absolute Performance Fund,AU,Open-End Fund,Blend Broad Market
JAAREUA:ID,Janus Capital Funds PLC - Janus Absolute Return Income Fund,IE,Open-End Fund,Foreign Aggregate Bond
KCACACH:ID,Kames Capital Investment Co Ireland PLC - Absolute Return Bond Constrained Fund,IE,Open-End Fund,Foreign Aggregate Bond
JANARIE:ID,Janus Capital Funds PLC - Janus Absolute Return Income Fund,IE,Open-End Fund,Foreign Aggregate Bond
KCABAGI:ID,Kames Capital Investment Co PLC-Kames Absolute Return Bond Global Fund,IE,Open-End Fund,Foreign Aggregate Bond
KCACAGH:ID,Kames Capital Investment Co Ireland PLC - Absolute Return Bond Constrained Fund,IE,Open-End Fund,Foreign Aggregate Bond
MLCPPMA:AU,MLC MasterKey Allocated Pension - PM Capital Absolute Performance Fund,AU,Open-End Fund,Foreign Blend
PENNRUB:ID,Pensato Capital Fund PLC - Pensato Europa Absolute Return Fund,IE,Open-End Fund,Long Short
KARBASH:ID,Kames Capital Investment Co PLC-Kames Absolute Return Bond Global Fund,IE,Open-End Fund,Foreign Aggregate Bond
PENNRUB:ID,Pensato Capital Fund PLC - Pensato Europa Absolute Return Fund,IE,Open-End Fund,Long Short
KARBASH:ID,Kames Capital Investment Co PLC-Kames Absolute Return Bond Global Fund,IE,Open-End Fund,Foreign Aggregate Bond
KCABUSH:ID,Kames Capital Investment Co PLC-Kames Absolute Return Bond Global Fund,IE,Open-End Fund,Foreign Aggregate Bond
KACINEH:ID,Kames Capital Investment Co PLC-Kames Absolute Return Bond Global Fund,IE,Open-End Fund,Foreign Aggregate Bond
KABIEUH:ID,Kames Capital Investment Co PLC-Kames Absolute Return Bond Global Fund,IE,Open-End Fund,Foreign Aggregate Bond
KCACAUH:ID,Kames Capital Investment Co Ireland PLC - Absolute Return Bond Constrained Fund,IE,Open-End Fund,Foreign Aggregate Bond
OPTPPRM:PL,Optimize Capital Reforma PPR Moderado - Fundo de Investimento Aberto,PT,Open-End Fund,Conservative Allocation
OPTCAAC:PL,Optimize Capital Reforma PPR Accoes - Fundo de Investimento Aberto,PT,Open-End Fund,Moderate Allocation
JANARAU:ID,Janus Capital Funds PLC - Janus Absolute Return Income Fund,IE,Open-End Fund,Foreign Aggregate Bond
KCABACH:ID,Kames Capital Investment Co Ireland PLC - Absolute Return Bond Constrained Fund,IE,Open-End Fund,Foreign Aggregate Bond
MLCBPMA:AU,MLC MasterKey Business Super - PM Capital Absolute Performance Fund,AU,Open-End Fund,Foreign Blend
KACAEUH:ID,Kames Capital Investment Co PLC-Kames Absolute Return Bond Global Fund,IE,Open-End Fund,Foreign Aggregate Bond
JAAREAH:ID,Janus Capital Funds PLC - Janus Absolute Return Income Fund,IE,Open-End Fund,Foreign Aggregate Bond
KCABAUH:ID,Kames Capital Investment Co Ireland PLC - Absolute Return Bond Constrained Fund,IE,Open-End Fund,Foreign Aggregate Bond
KACZAGB:ID,Kames Capital Investment Co PLC-Kames Absolute Return Bond Global Fund,IE,Open-End Fund,Foreign Aggregate Bond
ESCAPTL:PL,NB Capitalizacao - Fundo de Investimento Aberto de Obrigacoes de Taxa Variavel E,PT,Open-End Fund,Conservative Allocation
ABIZF:US,Abington Resources Ltd,US,Common Stock,Capital Pools
NQ6D:GR,KJL Capital Absolute Return I UI,DE,Open-End Fund,Dynamic Allocation
AUB:FP,Aubay,FR,Common Stock,Computer Services
AUBAY:IND,Australia Building Approvals Dwellings YoY,AU,Index,
AUBCQOQ%:IND,Australia Dwelling Unit Commencements QoQ,AU,Index,
AUBAC:IND,Australia Building Approvals Dwellings MoM,AU,Index,
3583:JP,Aubex Corp,JP,Common Stock,Textile-Apparel
AUB:AU,AUB Group Ltd,AU,Common Stock,Insurance Brokers
ABBB:US,Auburn Bancorp Inc,US,Common Stock,S&L/Thrifts-Eastern US
AUBN:US,Auburn National Bancorporation Inc,US,Common Stock,Commer Banks-Southern US
AUBL:IN,Autumn Builders Ltd,IN,Common Stock,Building-Heavy Construct
AUB:PM,Asia United Bank Corp,PH,Common Stock,Money Center Banks
AUBBEIF:PM,AUB Equity Investment Fund,PH,Open-End Fund,Blend Broad Market
AUBPPIF:PM,AUB Peso Investment Fund,PH,Open-End Fund,Aggregate Bond Intermediate
AUBBGDF:PM,AUB Gold Dollar Fund,PH,Open-End Fund,Aggregate Bond Intermediate
AUBELXA:LX,Auriga Investors - Belgravia Lynx,LU,Open-End Fund,Dynamic Allocation
AUBPMMF:PM,AUB Peso Money Market Fund,PH,Open-End Fund,General (Non-US)
AUBINPB:SJ,Autus BCI Income Plus Fund,ZA,Fund of Funds,Conservative Allocation
AUBFX:US,Invesco World Bond Fund,US,Open-End Fund,Foreign Aggregate Bond
AUBIPUC:LX,U Access - Best Selection China A,LU,Open-End Fund,Dynamic Allocation
AUBBX:US,Invesco World Bond Fund,US,Open-End Fund,Foreign Aggregate Bond
AUBIX:US,Invesco World Bond Fund,US,Open-End Fund,Foreign Aggregate Bond
AUBALGR:AU,Australian Unity Balanced Growth Portfolio,AU,Open-End Fund,Global Allocation
AUBCX:US,Invesco World Bond Fund,US,Open-End Fund,Foreign Aggregate Bond
AUBCCBI:LN,S&W Aubrey Capital Management Investment Funds - Collective Conviction Fund,GB,Open-End Fund,Global Allocation
AUBBLFA:SJ,Autus BCI Balanced Fund,ZA,Fund of Funds,Moderate Allocation
AUBGLEQ:SJ,Autus BCI Global Equity Fund,ZA,Open-End Fund,Dynamic Allocation
AUBYX:US,Invesco World Bond Fund,US,Open-End Fund,Foreign Aggregate Bond
AUBIX:US,Invesco World Bond Fund,US,Open-End Fund,Foreign Aggregate Bond
AUBGLOB:FH,UB Smart,FI,Open-End Fund,Nordic Region
AUBGEQB:SJ,Autus BCI Global Equity Fund,ZA,Open-End Fund,Dynamic Allocation
AUBAX:US,Invesco World Bond Fund,US,Open-End Fund,Foreign Aggregate Bond
AUBCCAI:LN,S&W Aubrey Capital Management Investment Funds - Collective Conviction Fund,GB,Open-End Fund,Global Allocation
SWAGCBI:LN,S&W Aubrey Capital Management Investment Funds - Global Conviction Fund,GB,Open-End Fund,Foreign Growth
SWAGLCI:LN,S&W Aubrey Capital Management Investment Funds - Global Conviction Fund,GB,Open-End Fund,Foreign Growth
AUGCARI:LN,S&W Aubrey Capital Management Investment Funds - Global Conviction Fund,GB,Open-End Fund,Foreign Growth
SWACCCA:LN,S&W Aubrey Capital Management Investment Funds - Collective Conviction Fund,GB,Open-End Fund,Global Allocation
SWAGLCA:LN,S&W Aubrey Capital Management Investment Funds - Global Conviction Fund,GB,Open-End Fund,Foreign Growth
SWAUGCB:LN,S&W Aubrey Capital Management Investment Funds - Global Conviction Fund,GB,Open-End Fund,Foreign Growth
AUGCAII:LN,S&W Aubrey Capital Management Investment Funds - Global Conviction Fund,GB,Open-End Fund,Foreign Growth
BAQ:GR,Aubay,DE,Common Stock,Computer Services
A5H:GR,AUB Group Ltd,DE,Common Stock,Insurance Brokers
AUB:GR,Lepidico Ltd,DE,Common Stock,Diversified Minerals
ATRAPRF:PM,ATRAM AsiaPlus Equity Fund,PH,Open-End Fund,Foreign Blend
ALPHAOP:PM,ATRAM Alpha Opportunity Fund,PH,Open-End Fund,Growth Small Cap
KABUHAY:PM,ATRAM Philippine Balanced Fund,PH,Open-End Fund,Moderate Allocation
PROPBAL:PM,ATRAM Dynamic Allocation Fund,PH,Open-End Fund,Dynamic Allocation
ATRKEEO:PM,ATRAM Philippine Equity Opportunity Fund,PH,Open-End Fund,Value Broad Market
ATRGLDV:PM,ATRAM Global Dividend Feeder Fund,PH,Open-End Fund,Foreign Value
ATRTRBF:PM,ATRAM Total Return Dollar Bond Fund,PH,Open-End Fund,Foreign Aggregate Bond
ATRASEQ:PM,ATRAM Asia Equity Opportunity Feeder Fund,PH,Open-End Fund,Asian Pacific Region
ATREMFI:PM,ATRAM Emerging Markets Bond Feeder Fund,PH,Open-End Fund,Emerging Markets Bond
ATREUEQ:PM,ATRAM European Equity Opportunity Feeder Fund,PH,Open-End Fund,European Region
ATRGLEQ:PM,ATRAM Global Equity Opportunity Feeder Fund,PH,Open-End Fund,Foreign Growth
ATRPHMM:PM,ATRAM Peso Money Market Fund,PH,Open-End Fund,Enhanced MMKT (Non-US)
ATRPHSE:PM,ATRAM Philippine Equity Smart Index Fund,PH,Open-End Fund,Growth Broad Market
ATRGLAA:PM,ATRAM Global Allocation Feeder Fund,PH,Open-End Fund,Global Allocation
ATRUSEQ:PM,ATRAM US Equity Opportunity Feeder Fund,PH,Open-End Fund,US
PRULFIX:PM,ATRAM Corporate Bond Fund Inc,PH,Open-End Fund,General Corporate Bond
ATRPHFI:PM,ATRAM Total Return Peso Bond Fund,PH,Open-End Fund,General Corporate Bond
ATRGLFI:PM,ATRAM Global Total Return Bond Feeder Fund,PH,Open-End Fund,High Yield Bond
ATREMEQ:PM,ATRAM Emerging Markets Equity Opportunity Feeder Fund,PH,Open-End Fund,Emerging Market Stock
BDOM:IND,Bloomberg Dominican Republic Local Sovereign Index,P9,Fixed Income Index,
BDO:PM,BDO Unibank Inc,PH,Common Stock,Commer Banks Non-US
BDORY:US,Banco do Brasil SA,US,ADR,Commer Banks Non-US
BDODMPI:PM,BDO Developed Markets Property Index Feeder Fund,PH,Open-End Fund,Real Estate Sector
BDOGHX:US,ADT 1763 - Bulldog Portfolio - A Cyrus J Lawrence LLC Portfolio - Series 2017-1Q,US,UIT,N.A.
BDOEQIF:PM,BDO Equity Index Fund,PH,Open-End Fund,Growth Large Cap
BDOAX:US,BlackRock International ex-US Index Fund,US,Open-End Fund,Foreign Blend
BDOLANG:IJ,Batavia Dana Obligasi Cemerlang,ID,Open-End Fund,Aggregate Bond
BDOIX:US,BlackRock International ex-US Index Fund,US,Open-End Fund,Foreign Blend
BDOICRF:PM,BDO Institutional Cash Reserve Fund,PH,Open-End Fund,Currency Focused (Non-US)
BDOGEX:US,Advisors Disciplined Trust 1651 Bulldog Port - A Cyrus J. Lawrence LLC - 2016-2Q,US,UIT,N.A.
BDOSBAM:IJ,Batavia Dana Obligasi Sentosa,ID,Open-End Fund,Aggregate Bond
