Symbol,Name,Bank,Currency,Fund Classification,Risk Classification,Inception Date,Min. Initial Participation,Min. Additional Participation,Min. Maintaining Balance,Min. Holding Period,Cut-Off Time for Redemption,Settlement Date (T + # of Days),Trust Fee Structure,Early Redemption Fee,Benchmark
INGDVBA:PM,Odyssey Diversified Balanced Fund,BPI,PHP,Balanced Funds,Aggressive,2006-05-12,10000,5000,10000,"0 calendar 
			            days",02:30 PM,T+3,1.50% p.a.,None,"50% BPI Philippine Government Bond Index 
50% Philippine Stock Exchange Index"
INGDVCP:PM,Odyssey Diversified Capital Fund,BPI,PHP,Balanced Funds,Aggressive,2006-12-04,10000,5000,10000,"0 calendar 
			            days",02:30 PM,T+3,1.50% p.a.,None,"70% BPI Philippine Government Bond Index
30% Philippine Stock Exchange Index"
INGPFIN:PM,Odyssey Peso Bond Fund,BPI,PHP,Long Term Bond Funds,Aggressive,2003-05-05,10000,5000,10000,"0 calendar 
			            days",02:00 PM,T+1,1.00% p.a.,None,BPI Philippine Government Bond Index
INGPINC:PM,Odyssey Peso Medium Term Bond Investment Fund,BPI,PHP,Medium Term Bond Funds,Moderate,2007-10-01,10000,5000,10000,"0 calendar 
			            days",02:00 PM,T+1,1.00% p.a.,None,BPI Philippine Government Bond 1-5 Year Index
INGPDFI:PM,Odyssey Philippine Dollar Bond Fund,BPI,USD,Long Term Bond Funds,Aggressive,2003-05-05,1000,100,1000,"0 calendar 
			            days",02:00 PM,T+3,1.25% p.a.,None,JP Morgan Chase Asia Total Return Philippines Index
INGPHEQ:PM,Odyssey Philippine Equity Fund,BPI,PHP,Equity Funds,Aggressive,2003-05-05,10000,5000,10000,"0 calendar 
			            days",02:30 PM,T+3,2.00% p.a.,None,Philippine Stock Exchange Index (PSEi)
INGPHCE:PM,Odyssey Philippine High Conviction Equity Fund,BPI,PHP,Equity Funds,Aggressive,2007-02-01,10000,5000,10000,"0 calendar 
			            days",02:30 PM,T+3,2.50% p.a.,None,Philippine Stock Exchange Index (PSEi)
INGTEFI:PM,Odyssey Tax Exempt Peso Fixed Income Fund,BPI,PHP,Long Term Bond Funds,Aggressive,2004-01-06,100000,50000,100000,"0 calendar 
			            days",02:00 PM,T+1,1.00% p.a.,None,BPI Philippine Government Bond Index
INGTEPE:PM,Odyssey Tax Exempt Philippine Equity Fund,BPI,PHP,Equity Funds,Aggressive,2004-01-06,100000,50000,100000,"0 calendar 
			            days",02:30 PM,T+3,2.00% p.a.,None,Philippine Stock Exchange index (PSEi)
CNBKBLF:PM,China Bank Balanced Fund,China Bank,PHP,Balanced Funds,Moderate,2011-02-18,50000,10000,50000,"30 calendar 
			            days",12:00 PM,T + 3,1.0% per annum based on the Net Asset Value (NAV) of the Fund before trust fee for the day,1.0% of the amount redeemed,The weighted average return of the appropriate Philippine Dealing Exchange (PDEX) average PDST (R2) corresponding to the actual average duration of the fixed-income component of the Fund and the PSE Index (PSEi) for the equity portion.
CNBKDOF:PM,China Bank Dollarfund,China Bank,USD,Long Term Bond Funds,Moderate,2005-09-09,2000,1000,2000,"30 calendar 
			            days",12:00 PM,T + 3,0.75% per annum based on the Net Asset Value (NAV) of the Fund before trust fee for the day,1.50% p.a. of the amount redeemed if redemption is made during the first half of the minimum holding period; 1.0% p.a. of the amount redeemed if redemption is made during the second half of the minimum holding period or a flat amount of $25.00 whichever i,"The appropriate HSBC Asian US Dollar Bond Index, Philippine Total Return."
CNBEQYF:PM,China Bank Equity Fund,China Bank,PHP,Equity Funds,Aggressive,2013-06-11,50000,10000,50000,"30 calendar 
			            days",12:00 PM,T+3,1.0% based on NAV before trust fee for the day,1.0% of redemption proceeds,PSEi for equity portion PDSS - 1 month index for fixed income component
CNBKGSF:PM,China Bank GS Fund,China Bank,PHP,Long Term Bond Funds,Moderate,2006-03-24,50000,10000,50000,"30 calendar 
			            days",12:00 PM,T + 1,1.0% per annum based on the Net Asset Value (NAV) of the Fund before trust fee for the day,1.0% of the amount redeemed,The appropriate Philippine Dealing Exchange (PDEX) average PDST (R2) rate corresponding to the actual average
CNBHDEF:PM,China Bank High Dividend Equity Fund,China Bank,PHP,Equity Funds,Aggressive,2015-06-26,50000,10000,50000,"30 calendar 
			            days",12:00 PM,T+3,1.0% per annum based on the Net Asset Value (NAV) of the Fund before trust fee for the day,1.0% of the amount redeemed,"The weighted average return of the Philippine Stock Exchange Index (PSEi) and the Philippine Dealing Exchange (PDEX) 30-day PDST (RS) rate for the fixed-income portion, if any."
CNBIMMF:PM,China Bank Institutional Money Market Fund,China Bank,PHP,Money Market Funds,Moderate,2015-06-26,5000000,100000,5000000,"3 banking 
			            days",12:00 PM,T+0,0.15%p.a. based on the Net Asset Value (NAV) of the Fund before trust fee for the day,1.0% of the amount redeemed,Appropriate Philippine Dealing Exchange (PDEX) 30-day PDST (R2) rate
CNBINTFI:PM,China Bank Intermediate Fixed Income Fund,China Bank,PHP,Intermediate Term Bond Funds,Moderate,2014-05-22,50000,10000,50000,"30 calendar 
			            days",12:00 PM,T + 1,0.50% per annum based on the Net Asset Value (NAV) of the Fund before trust fee for the day,1.0% of the amount redeemed,The appropriate Philippine Dealing Exchange (PDEX) average PDST (R2) rate corresponding to the actual average duration of the Fund\'s investments.
CNBMMKF:PM,China Bank Money Market Fund,China Bank,PHP,Money Market Funds,Conservative,2009-03-20,50000,10000,50000,"3 banking 
			            days",12:00 PM,T + 1,0.25% per annum based on the Net Asset Value (NAV) of the Fund before trust fee for the day,1.0% of the amount redeemed,The appropriate Philippine Dealing Exchange (PDEX) average PDST (R2) rate corresponding to the actual average duration of the Funds investments
CNBSTFD:PM,China Bank Short Term Fund,China Bank,PHP,Money Market Funds,Moderate,2014-05-22,50000,10000,50000,"3 banking 
			            days",12:00 PM,T + 1,0.25% per annum based on the Net Asset Value (ANV) of the Fund before trust fee for the day,1.0% of the amount redeemed,The appropriate Philippine Dealing Exchange (PDEX) average PDST(R2) rate corresponding to the actual average duration of the Fund\'s investments.
EASDITB:PM,Eastwest Dollar Intermediate Term Bond Fund,EastWest,USD,Intermediate Term Bond Funds,Moderate,2005-03-18,2000,200,2000,"30 calendar 
			            days",12:00 PM,T+3,0.50% p.a. of the market value of the fund,"$10.00 or 0.25% of the withdrawn amount, whichever is higher",25% Bloomberg USD Emerging Market Philippines Sovereign Bond Index + 75% Average Philippine USD Savings Deposit Rate.
EASITBF:PM,Eastwest Peso Intermediate Term Bond Fund,EastWest,PHP,Intermediate Term Bond Funds,Moderate,2005-02-18,10000,1000,10000,"30 calendar 
			            days",12:00 PM,T+1,1% p.a. of the market value of the fund,"PHP 500.00 or 0.25% of the withdrawn amount, whichever is higher","Bloomberg Philippine Sovereign Bond Index 1-3 Year, Adjusted."
EASLTBF:PM,Eastwest Peso Long Term Bond Fund,EastWest,PHP,Long Term Bond Funds,Moderate,2007-03-01,50000,1000,50000,"180 calendar 
			            days",12:00 PM,T+1,1.0% p.a. of the market value of the fund,"PHP 500.00 or 0.25% of the withdrawn amount, whichever is higher","Bloomberg Philippine Sovereign Bond Index AI, Adjusted."
EASPMON:PM,Eastwest Peso Money Market Fund,EastWest,PHP,Money Market Funds,Conservative,2007-03-01,10000,1000,10000,"0 calendar 
			            days",12:00 PM,T+1,0.25% p.a. of the market value of the fund,None,3-month Philippine Dealing System Treasury Interpolated Rate PM (PDSI-R2)
EASPSTF:PM,Eastwest Peso Short Term Fund,EastWest,PHP,Money Market Funds,Moderate,2016-06-21,10000,1000,10000,"0 calendar 
			            days",12:00 PM,T+1,0.25% p.a of the market value of the fund,Not applicable,"Bloomberg Philippine Sovereign Bond Index Money Market, Adjusted."
EASPQRF:PM,Eastwest Philequity Feeder Fund,EastWest,PHP,Equity Funds,Aggressive,2014-10-29,10000,1000,10000,"30 calendar 
			            days",12:00 PM,T+4,0.25% per annum,PHP500 or 0.25% of the redemption proceeds whichever is higher,Philippine Stock Exchange Index
EASPQIF:PM,Eastwest Philequity Institutional Feeder Fund,EastWest,PHP,Equity Funds,Aggressive,2014-09-22,0,0,0,"0 calendar 
			            days",12:00 PM,T+3,Fee is charged at the portfolio level,0,Philippine Stock Exchange Index
EASPQTK:PM,Eastwest PSEI Tracker Fund,EastWest,PHP,Equity Funds,Aggressive,2015-12-01,10000,1000,10000,"30 calendar 
			            days",12:00 PM,T+4,0.75% p.a of the market value of the fund,"P500.00 or 0.25% of redemption proceeds, whichever is higher",Philippine Stock Exchange Index
MBASPBA:PM,Metro Aspire Balanced Feeder Fund,MetroBank,PHP,Balanced Funds,Aggressive,2015-08-27,5000,1000,5000,"0 calendar 
			            days",12:00 PM,T + 1,None,None,"60% Philippine Stock Exchange Index (PSEi) and 40% Bloomberg Philippine Sovereign Bond Index 1-5 year (BPHIL15), Adjusted"
MBASPEQ:PM,Metro Aspire Equity Feeder Fund,MetroBank,PHP,Equity Funds,Aggressive,2015-08-27,5000,1000,5000,"0 calendar 
			            days",12:00 PM,T + 3,None,None,PSEi
MBCAPGR:PM,Metro Balanced Fund,MetroBank,PHP,Balanced Funds,Aggressive,2005-04-08,25000,25000,25000,"30 calendar 
			            days",12:00 PM,T+1,2.0% p.a.,50% of income,"60% Philippine Stock Exchange Index (PSEi) and 40% Bloomberg Philippine Sovereign Bond Index 1-5 year (BPHIL15), Adjusted"
MCBFUND:PM,Metro Corporate Bond Fund,MetroBank,PHP,Long Term Bond Funds,Moderate,2016-11-23,50000,25000,50000,"30 calendar 
			            days",12:00 PM,T+3,0.75% p.a.,50% of income,80% BPI Philippine Corporate Bond Index and 20% Philippine 30-day Special.
MBEQITY:PM,Metro Equity Fund,MetroBank,PHP,Equity Funds,Aggressive,2007-03-01,25000,25000,25000,"30 calendar 
			            days",12:00 PM,T+3,2.0% p.a.,50% of income,Philippine Stock Exchange index (PSEi )
MBHIDIV:PM,Metro High Dividend Yield Fund,MetroBank,PHP,Equity Funds,Aggressive,2014-10-10,25000,25000,25000,"30 calendar 
			            days",12:00 PM,T+3,2% p.a.,1.0% of redeemed amount,PSEi
MBELITE:PM,Metro Max 3 Bond Fund,MetroBank,PHP,Intermediate Term Bond Funds,Moderate,2005-04-08,50000,25000,50000,"30 calendar 
			            days",12:00 PM,T+1,1.0% p.a.,50% of income,"80% Bloomberg Philippine Sovereign Bond Index 1-3 year (BPHIL13), Adjusted and 20% Philippine 30-day Special Savings Rate Gen. Average Rate (net of taxes)"
MBPKEAR:PM,Metro Max 5 Bond Fund,MetroBank,PHP,Medium Term Bond Funds,Moderate,2005-04-06,50000,25000,50000,"30 calendar 
			            days",12:00 PM,T+1,1.5% p.a.,50% of income,"80% Bloomberg Philippine Sovereign Bond Index 1-5 year (BPHIL15), Adjusted and 20% Philippine 30-day Special Savings Rate Gen. Average Rate (net of taxes)"
MBSTART:PM,Metro Money Market Fund,MetroBank,PHP,Money Market Funds,Conservative,2005-04-04,50000,25000,50000,"7 calendar 
			            days",12:00 PM,T+0,0.50% p.a.,50% of income,Philippine 30-day Special Savings Rate Gen. Average (net of taxes)
MBPSEIT:PM,Metro PSEi Tracker Fund,MetroBank,PHP,Equity Funds,Aggressive,2014-10-10,25000,25000,25000,"30 calendar 
			            days",12:00 PM,T+3,1.0% p.a.,1.0% of amount redeemed,PSEi
MSTFUND:PM,Metro Short Term Fund,MetroBank,PHP,Money Market Funds,Moderate,2017-03-15,25000,10000,25000,"7 calendar 
			            days",12:00 PM,End of Day,0.50% p.a.,50% of income earned,"75% Bloomberg Philippine 30-day Special Savings Rate General Average (net of taxes) and
25% Bloomberg Philippine Sovereign Bond Index Money Market, Adjusted"
